	title
0	['A-1 BAKERY & Châteraisé (LG1-51 ) \r\n                                                                                        ']
1	['a.testoni (LG2-63 ) \r\n                                            ']
2	['                                            ']
3	['AAPE BY A BATHING APE (LG1-27 ) \r\n                                                                                        ']
4	['ACCA KAPPA (UG-KIOSK E1 ) \r\n                                            ']
5	['                                            ']
6	['Accessorize (UG-43 ) \r\n                                                                                        ']
7	['adidas (UG-06 ) \r\n                                            ']
8	['                                            ']
9	['adidas Originals (L1-05 ) \r\n                                            ']
10	['                                            ']
11	['Aesop  (G-33 ) \r\n                                            ']
12	['                                            ']
13	['agnès b. (LG1-45 ) \r\n                                            ']
14	['                                            ']
15	['agnès b. DÉLICES  (LG1-45  ) \r\n                                                                                        ']
16	['agnès b. FLEURISTE  (LG1-45 ) \r\n                                            ']
17	['                                            ']
18	['AIGLE (L2-09 ) \r\n                                            ']
19	['                                            ']
20	['ALEXANDRE ZOUARI PARIS (LG1-04 ) \r\n                                            ']
21	['                                            ']
22	['Amaroni’s  (LG1-32 ) \r\n                                            ']
23	['                                            ']
24	['An Nam (L1-20 ) \r\n                                            ']
25	['                                            ']
26	['ANA GURA (UG-35 ) \r\n                                            ']
27	['                                            ']
28	['anagram (LG1-19 ) \r\n                                            ']
29	['                                            ']
30	['Anteprima (LG2-15 ) \r\n                                                                                        ']
31	['ANTEPRIMA WIREBAG (LG1-03 ) \r\n                                            ']
32	['                                            ']
33	['APM Monaco (LG2-KIOSK H ) \r\n                                                                                        ']
34	['Apple Store  (LG1-40 ) \r\n                                                                                        ']
35	['Ashworth (L2-48 ) \r\n                                            ']
36	['                                            ']
37	['ATSURO TAYAMA (LG1-02 ) \r\n                                            ']
38	['                                            ']
39	['AVEDA (UG-16 ) \r\n                                            ']
40	['                                            ']
41	[':CHOCOOLATE \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L1-30) ']
42	['a.testoni \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG2-63) ']
43	['AAPE BY A BATHING AP... \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG1-27) ']
44	['Accessorize \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(UG-43) ']
45	['adidas \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(UG-06) ']
46	['adidas Originals \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L1-05) ']
47	['agnès b. \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG1-45) ']
48	['AIGLE \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L2-09) ']
49	['ALEXANDRE ZOUARI PAR... \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG1-04) ']
50	['anagram \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG1-19) ']
51	['Anteprima \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG2-15) ']
52	['ANTEPRIMA WIREBAG \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG1-03) ']
53	['APM Monaco \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG2-KIOSK H) ']
54	['Ashworth \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L2-48) ']
55	['ATSURO TAYAMA \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG1-02) ']
56	['b+ab \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L1-09) ']
57	['Bally \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG2-10) ']
58	['Brooks Brothers \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG2-61) ']
59	['Calvin Klein Jeans \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L1-38) ']
60	['Calvin Klein Underwe... \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L1-35) ']
61	['Camper \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(UG-33) ']
62	['Chow Sang Sang \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG2-46) ']
63	['Chow Tai Fook \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG2-55) ']
64	['City Chain \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L1-KIOSK P) ']
65	['CLUB MONACO \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG1-07) ']
66	['COACH \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG2-11 ) ']
67	['Cocktail \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG1-01B) ']
68	['Cole Haan \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG1-22) ']
69	['Columbia Sportswear ... \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L2-45) ']
70	['COS \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG1-36) ']
71	"[""D'URBAN \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG1-54) ""]"
72	['Diamanti Per Tutti \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(G-05) ']
73	['double-park \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L1-30) ']
74	['Dr. Kong Footcare \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L2-31) ']
75	['ECCO \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L2-08) ']
76	['eGG* \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L1-27) ']
77	['EMPHASIS JEWELLERY \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L1-28) ']
78	['Ferrari Store Junior... \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L2-13) ']
79	['Fila \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L1-08) ']
80	['FURLA \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG1-21) ']
81	['G2000 \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L1-39) ']
82	['GapKids & babyGa... \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L2-01) ']
83	['Georg Jensen \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG2-65) ']
84	['GEOX \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L2-53) ']
85	['Gieves & Hawkes \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG2-18) ']
86	['GigaSports \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L1-02) ']
87	['Gilly Hicks \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(UG-02) ']
88	['Giordano Ladies \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L1-11) ']
89	['Glasstique \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG2-67) ']
90	['Global Timepieces  \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG2-45) ']
91	['Global Timepieces • ... \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG2-49) ']
92	['Go Wild \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(UG-KIOSK Q) ']
93	['H&M \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(UG-26, L1-25 & L2-35) ']
94	['Hollister \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(UG-02 ) ']
95	['I.T \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG2-02) ']
96	['i.t \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG2-30) ']
97	['Ibility \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(UG-48) ']
98	['iBLUES \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG2-24) ']
99	['Inside Edge \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(UG-21) ']
100	['izzue \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG1-34) ']
101	['J.LINDEBERG \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L2-37) ']
102	['Jack Wills \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG1-28) ']
103	['Joy & Peace \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(UG-10) ']
104	['Juicy Couture  \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG1-57) ']
105	['kate spade new york \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG1-17) ']
106	['Kent & Curwen \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG2-08) ']
107	['Kingkow \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L2-32) ']
108	['Kinji \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG1-60) ']
109	['Kipling \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L1-21) ']
110	['LACOSTE \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L2-51) ']
111	['LANCASTER \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG2-20) ']
112	['LensCrafters \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L1-13) ']
113	['Les Néréides  \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(UG-KIOSK E2) ']
114	['Levi’s \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(UG-09) ']
115	['Links of London \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG1-24) ']
116	['Little MO&Co.  \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L2-16) ']
117	['Longchamp \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG2-59) ']
118	['MaBelle  \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG1-61) ']
119	['Madia  \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(G-01) ']
120	['Marella \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG2-25) ']
121	['MAX & Co. \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG2-03) ']
122	['MBT \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L2-39) ']
123	['MICHAEL KORS \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG1-13) ']
124	['millie’s \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(UG-10) ']
125	['Moiselle \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG1-25) ']
126	['Monsoon Children \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L2-36) ']
127	['Montblanc \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG2-52) ']
128	['Moussy \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(UG-45) ']
129	['Nicholas & Bears... \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L2-18) ']
130	['Nike Basketball \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L1-03) ']
131	['OMEGA \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG2-50) ']
132	['OYSHO \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L1-10) ']
133	['PANDORA \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(G-02) ']
134	['Pashma \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(G-03) ']
135	['Patagonia \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L2-06) ']
136	['PENNYBLACK \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG1-18) ']
137	['Phase Eight \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG1-37) ']
138	['Playlord \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L1-41) ']
139	['POLO RALPH LAUREN \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG2-07) ']
140	['PS by Paul Smith \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG1-55) ']
141	['Puma \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L1-06) ']
142	['RALPH LAUREN CHILDRE... \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L2-11) ']
143	['Repetto \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG2-19) ']
144	['Rigby & Peller \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(UG-41) ']
145	['Rockport \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L2-50) ']
146	['ROLEX \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG2-48) ']
147	['S.T. Dupont \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG2-22) ']
148	['Samsonite \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L1-23) ']
149	['Scotch & Soda \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG1-38) ']
150	['Seed Heritage \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L2-52) ']
151	['Smiggle  \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L2-33) ']
152	['Soleroom \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L2-KIOSK J) ']
153	['SPORTMAX \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG2-06) ']
154	['STACCATO \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(UG-05) ']
155	['Swarovski \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG2-17) ']
156	['Ted Baker \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG1-64) ']
157	['THE NORTH FACE \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L2-07) ']
158	['Tic Tac Time \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L1-15) ']
159	['Timberland \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L2-40) ']
160	['Tommy Hilfiger \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG1-09) ']
161	['Toys “R” Us \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(L2-02) ']
162	['TUMI \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(G-30) ']
163	['VIVIENNE TAM \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG1-05) ']
164	['WEEKEND by MaxMara \r\n\t\t\t\t\t\t\t\t\t\t\t\t\t(LG2-23) ']
